,year_state,year,state_id,total_non_renew_gen,total_renew_gen,total_generation,PercentageRenewable,PercentageNonRenewable
191,2009_PA,2009,PA,214246054.8243,5285510.7376999995,219531565.56199998,2.4076313236181375,97.59236867638187
192,2009_RI,2009,RI,7547488.45,149336.0,7696824.45,1.9402287393991426,98.05977126060085
193,2009_SC,2009,SC,97023261.175,3102225.231,100125486.406,3.098337238953078,96.90166276104691
194,2009_SD,2009,SD,3337324.167,4785727.803,8123051.970000001,58.91539067673847,41.08460932326153
195,2009_TN,2009,TN,69204290.576,10512598.074,79716888.65,13.187416433368288,86.8125835666317
196,2009_TX,2009,TX,375915171.0442,22060026.03,397975197.07420003,5.543065545837784,94.45693445416221
197,2009_UT,2009,UT,42221482.6452,1248323.1149,43469805.7601,2.8717016169550242,97.12829838304498
198,2009_VA,2009,VA,67550235.9245,2531830.1385,70082066.06300001,3.612664809601961,96.38733519039803
199,2009_VT,2009,VT,5367477.696,1914870.614,7282348.3100000005,26.294685896450893,73.7053141035491
200,2009_WA,2009,WA,26444796.198,78011060.273,104455856.471,74.68328048667922,25.316719513320773
201,2009_WI,2009,WI,56413596.493,3733366.5184,60146963.0114,6.207074025819714,93.79292597418029
202,2009_WV,2009,WV,68394985.571,2387528.733,70782514.30399999,3.3730487769139312,96.62695122308608
203,2009_WY,2009,WY,42836435.89,3192776.58,46029212.47,6.936413657046433,93.06358634295357
204,2010_AK,2010,AK,5306979.032,1440199.349,6747178.380999999,21.345209325658114,78.6547906743419
205,2010_AL,2010,AL,140705591.285,11444920.77,152150512.055,7.522104668213565,92.47789533178643
206,2010_AR,2010,AR,55716821.858,5277759.685,60994581.543000005,8.652833664051423,91.34716633594857
207,2010_AZ,2010,AZ,104586118.202,7164638.373,111750756.575,6.411266100191053,93.58873389980896
208,2010_CA,2010,CA,145542605.2542,58724747.2897,204267352.5439,28.74896382527854,71.25103617472146
209,2010_CO,2010,CO,45748324.9323,5010780.563,50759105.4953,9.871688072722181,90.12831192727782
210,2010_CT,2010,CT,32251626.8823,1097996.4277,33349623.310000002,3.2923802991524695,96.70761970084753
211,2010_DC,2010,DC,199858.0,0.0,199858.0,0.0,100.0
212,2010_DE,2010,DE,5489447.581,138197.419,5627645.0,2.4556882852418727,97.54431171475814
213,2010_FL,2010,FL,224695194.2189,4572022.2651,229267216.484,1.9941892849818197,98.00581071501819
214,2010_GA,2010,GA,131350873.498,6226067.766,137576941.264,4.525516928053107,95.47448307194689
215,2010_HI,2010,HI,10028926.339,807109.627,10836035.966,7.448384534090241,92.55161546590975
216,2010_IA,2010,IA,47215820.0487,10290790.5403,57506610.589,17.894969699828643,82.10503030017135
217,2010_ID,2010,ID,1856310.233,10168253.87,12024564.103,84.56234906230928,15.43765093769071
218,2010_IL,2010,IL,196096377.812,5256702.157,201353079.969,2.6106887254018227,97.38931127459819
219,2010_IN,2010,IN,121530780.649,3693880.4127,125224661.0617,2.949802683738127,97.05019731626187
220,2010_KS,2010,KS,44451195.68,3472564.56,47923760.24,7.24601855657727,92.75398144342273
221,2010_KY,2010,KY,95220547.9154,3020120.742,98240668.6574,3.0742062154851886,96.92579378451481
222,2010_LA,2010,LA,100146121.6715,3576570.433,103722692.1045,3.448204400052234,96.55179559994777
223,2010_MA,2010,MA,41119528.2902,1871547.228,42991075.5182,4.35333893242027,95.64666106757973
224,2010_MD,2010,MD,41386443.3784,2220740.1666,43607183.545,5.092601690976738,94.90739830902325
225,2010_ME,2010,ME,9068746.157,7949913.481,17018659.638,46.71292363852844,53.28707636147156
226,2010_MI,2010,MI,108501204.5962,3050166.6938,111551371.29,2.734315731422507,97.26568426857749
227,2010_MN,2010,MN,46205442.5137,7432174.9723,53637617.486,13.856273489850434,86.14372651014956
228,2010_MO,2010,MO,88897933.167,3414630.248,92312563.41499999,3.6989875718749157,96.30101242812509
229,2010_MS,2010,MS,52981786.744,1504264.936,54486051.68,2.760825733592594,97.23917426640742
230,2010_MT,2010,MT,19382691.246,10344895.32,29727586.566,34.798974673011806,65.20102532698819
231,2010_NC,2010,NC,122191821.9513,7238370.837,129430192.7883,5.592490191866825,94.40750980813317
232,2010_ND,2010,ND,28589395.86,6120398.0,34709793.86,17.63305776083339,82.36694223916662
233,2010_NE,2010,NE,34822997.104,1807009.096,36630006.2,4.933138930235835,95.06686106976416
234,2010_NH,2010,NH,19490378.112,2705533.8479999998,22195911.96,12.189334021849309,87.81066597815068
235,2010_NJ,2010,NJ,65041306.546,641187.084,65682493.629999995,0.9761917499842645,99.02380825001573
236,2010_NM,2010,NM,34222447.4008,2071801.638,36294249.03879999,5.708346894807389,94.29165310519262
237,2010_NV,2010,NV,30702304.86,4443942.83,35146247.69,12.644145882077803,87.3558541179222
238,2010_NY,2010,NY,107265052.8916,29645428.5504,136910481.442,21.65314754441122,78.34685245558877
239,2010_OH,2010,OH,142469156.76,1127188.281,143596345.04099998,0.7849700357471928,99.2150299642528
240,2010_OK,2010,OK,65502380.0479,6815825.54,72318205.5879,9.4247713761587,90.5752286238413
241,2010_OR,2010,OR,19822274.3292,35304724.8188,55126999.148,64.04252973033606,35.95747026966395
242,2010_PA,2010,PA,223882947.337,5869008.631,229751955.96800002,2.55449778709063,97.44550221290936
243,2010_RI,2010,RI,7594940.0,143779.0,7738719.0,1.857917311637753,98.14208268836224
244,2010_SC,2010,SC,100838325.874,3314806.845,104153132.719,3.1826280770096327,96.81737192299038
245,2010_SD,2010,SD,3439085.5,6610550.63,10049636.129999999,65.779004776763,34.220995223237004
246,2010_TN,2010,TN,73932689.271,8005192.556,81937881.82699999,9.76983097134706,90.23016902865295
247,2010_TX,2010,TX,382142197.228,28841562.549,410983759.777,7.0176891088468905,92.9823108911531
248,2010_UT,2010,UT,40773188.0412,1476166.5508,42249354.592,3.4939387004967766,96.50606129950322
249,2010_VA,2010,VA,70765766.2598,2200689.7272,72966455.987,3.0160293485983254,96.98397065140168
250,2010_VT,2010,VT,4790764.405,1829225.595,6619990.0,27.63184831094911,72.36815168905089
251,2010_WA,2010,WA,28393224.139,74884766.334,103277990.473,72.50796223961886,27.492037760381137
252,2010_WI,2010,WI,59729112.6242,4584954.4608,64314067.085,7.129007180871244,92.87099281912874
253,2010_WV,2010,WV,78482414.234,2306533.0,80788947.234,2.855010591138507,97.14498940886149
254,2010_WY,2010,WY,43848573.795,4270680.04,48119253.835,8.875200049119798,91.1247999508802
255,2012_AK,2012,AK,5331416.124,1596878.372,6928294.495999999,23.048650326887028,76.95134967311297
256,2012_AL,2012,AL,142440381.845,10664835.108,153105216.953,6.9656902098077245,93.03430979019227
257,2012_AR,2012,AR,61104425.809,3901252.0640000002,65005677.873,6.001402018484878,93.99859798151512
258,2012_AZ,2012,AZ,102386504.087,8227609.274,110614113.361,7.438118901833432,92.56188109816657
259,2012_CA,2012,CA,141942134.832531,57247520.930569,199189655.7631,28.740207773969225,71.25979222603078
260,2012_CO,2012,CO,45111878.115,7436032.498,52547910.613000005,14.150957500031168,85.84904249996882
261,2012_CT,2012,CT,34554598.994173,1002738.406827,35557337.401,2.820060443555032,97.17993955644496
262,2012_DC,2012,DC,71786.78,0.0,71786.78,0.0,100.0
263,2012_DE,2012,DE,8502772.6398,131050.618,8633823.2578,1.5178746898902034,98.4821253101098
264,2012_FL,2012,FL,216376519.016228,4723410.536372,221099929.5526,2.136323854073546,97.86367614592645
265,2012_GA,2012,GA,117367144.664,4647599.589,122014744.253,3.8090475191777715,96.19095248082222
266,2012_HI,2012,HI,9424773.38976,1044495.30824,10469268.698,9.976774294077822,90.02322570592217
267,2012_IA,2012,IA,41738570.5973,14863575.0537,56602145.651,26.259737829280333,73.74026217071966
268,2012_ID,2012,ID,2044182.406,13454906.91,15499089.316,86.81095150610074,13.189048493899266
269,2012_IL,2012,IL,189081494.746,8440506.212,197522000.958,4.273198008861171,95.72680199113883
270,2012_IN,2012,IN,110898558.61216,3980408.73724,114878967.3494,3.4648716201754657,96.53512837982453
271,2012_KS,2012,KS,39161638.612,5124986.0,44286624.612,11.57231115466705,88.42768884533295
272,2012_KY,2012,KY,87262790.757,2694661.453,89957452.21,2.995484406016172,97.00451559398383
273,2012_LA,2012,LA,100237616.17300001,3109986.2260000003,103347602.399,3.009248549369436,96.99075145063057
274,2012_MA,2012,MA,33719335.34123,2478786.16977,36198121.511,6.847830954478503,93.15216904552149
